# Goxel 0.12.0
# One line per voxel
# X Y Z RRGGBB
-16 -16 0 323232
-15 -16 0 323232
-14 -16 0 323232
-13 -16 0 323232
-12 -16 0 323232
-11 -16 0 303030
-10 -16 0 303030
-9 -16 0 303030
-8 -16 0 303030
-7 -16 0 303030
-6 -16 0 303030
-5 -16 0 303030
-4 -16 0 303030
-3 -16 0 303030
-2 -16 0 303030
-1 -16 0 303030
-16 -15 0 323232
-15 -15 0 303030
-14 -15 0 303030
-13 -15 0 303030
-12 -15 0 303030
-11 -15 0 303030
-10 -15 0 303030
-9 -15 0 303030
-8 -15 0 303030
-7 -15 0 303030
-6 -15 0 303030
-5 -15 0 303030
-4 -15 0 303030
-3 -15 0 303030
-2 -15 0 303030
-1 -15 0 303030
-16 -14 0 323232
-15 -14 0 303030
-14 -14 0 303030
-13 -14 0 303030
-12 -14 0 303030
-11 -14 0 303030
-10 -14 0 303030
-9 -14 0 303030
-8 -14 0 303030
-7 -14 0 303030
-6 -14 0 303030
-5 -14 0 303030
-4 -14 0 303030
-3 -14 0 303030
-2 -14 0 303030
-1 -14 0 303030
-16 -13 0 323232
-15 -13 0 303030
-14 -13 0 303030
-13 -13 0 303030
-12 -13 0 303030
-11 -13 0 303030
-10 -13 0 303030
-9 -13 0 303030
-8 -13 0 303030
-7 -13 0 303030
-6 -13 0 303030
-5 -13 0 303030
-4 -13 0 303030
-3 -13 0 303030
-2 -13 0 303030
-1 -13 0 303030
-16 -12 0 323232
-15 -12 0 303030
-14 -12 0 303030
-13 -12 0 303030
-12 -12 0 303030
-11 -12 0 303030
-10 -12 0 303030
-9 -12 0 303030
-8 -12 0 303030
-7 -12 0 303030
-6 -12 0 303030
-5 -12 0 303030
-4 -12 0 303030
-3 -12 0 303030
-2 -12 0 303030
-1 -12 0 303030
-16 -11 0 323232
-15 -11 0 303030
-14 -11 0 303030
-13 -11 0 303030
-12 -11 0 303030
-11 -11 0 303030
-10 -11 0 303030
-9 -11 0 303030
-8 -11 0 303030
-7 -11 0 303030
-6 -11 0 303030
-5 -11 0 303030
-4 -11 0 303030
-3 -11 0 303030
-2 -11 0 303030
-1 -11 0 303030
-16 -10 0 323232
-15 -10 0 303030
-14 -10 0 303030
-13 -10 0 303030
-12 -10 0 303030
-11 -10 0 303030
-10 -10 0 303030
-9 -10 0 303030
-8 -10 0 303030
-7 -10 0 303030
-6 -10 0 303030
-5 -10 0 303030
-4 -10 0 303030
-3 -10 0 303030
-2 -10 0 303030
-1 -10 0 303030
-16 -9 0 303030
-15 -9 0 303030
-14 -9 0 303030
-13 -9 0 303030
-12 -9 0 303030
-11 -9 0 303030
-10 -9 0 303030
-9 -9 0 303030
-8 -9 0 303030
-7 -9 0 303030
-6 -9 0 303030
-5 -9 0 303030
-4 -9 0 303030
-3 -9 0 303030
-2 -9 0 303030
-1 -9 0 303030
-16 -8 0 303030
-15 -8 0 303030
-14 -8 0 303030
-13 -8 0 303030
-12 -8 0 303030
-11 -8 0 303030
-10 -8 0 303030
-9 -8 0 303030
-8 -8 0 303030
-7 -8 0 303030
-6 -8 0 303030
-5 -8 0 303030
-4 -8 0 303030
-3 -8 0 303030
-2 -8 0 303030
-1 -8 0 303030
-16 -7 0 303030
-15 -7 0 303030
-14 -7 0 303030
-13 -7 0 303030
-12 -7 0 303030
-11 -7 0 303030
-10 -7 0 303030
-9 -7 0 303030
-8 -7 0 303030
-7 -7 0 303030
-6 -7 0 303030
-5 -7 0 303030
-4 -7 0 303030
-3 -7 0 303030
-2 -7 0 303030
-1 -7 0 303030
-16 -6 0 303030
