# Goxel 0.12.0
# One line per voxel
# X Y Z RRGGBB
-3 -16 16 412b1a
-2 -16 16 412b1a
-1 -16 16 412b1a
-16 -3 16 412b1a
-15 -3 16 412b1a
-16 -2 16 412b1a
-15 -2 16 412b1a
-16 -1 16 412b1a
-15 -1 16 412b1a
-4 -16 17 412b1a
-3 -16 17 412b1a
-2 -16 17 412b1a
-1 -16 17 412b1a
-16 -4 17 412b1a
-15 -4 17 412b1a
-16 -3 17 412b1a
-15 -3 17 412b1a
-16 -2 17 412b1a
-15 -2 17 412b1a
-16 -1 17 412b1a
-15 -1 17 412b1a
-5 -16 18 412b1a
-4 -16 18 412b1a
-3 -16 18 412b1a
-2 -16 18 412b1a
-1 -16 18 412b1a
-16 -5 18 412b1a
-15 -5 18 412b1a
-16 -4 18 412b1a
-15 -4 18 412b1a
-16 -3 18 412b1a
-15 -3 18 412b1a
-16 -2 18 412b1a
-15 -2 18 412b1a
-16 -1 18 412b1a
-15 -1 18 412b1a
-6 -16 19 412b1a
-5 -16 19 412b1a
-4 -16 19 412b1a
-3 -16 19 412b1a
-2 -16 19 412b1a
-16 -6 19 412b1a
-15 -6 19 412b1a
-16 -5 19 412b1a
-15 -5 19 412b1a
-16 -4 19 412b1a
-15 -4 19 412b1a
-16 -3 19 412b1a
-15 -3 19 412b1a
-16 -2 19 412b1a
-15 -2 19 412b1a
-7 -16 20 412b1a
-6 -16 20 412b1a
-5 -16 20 412b1a
-4 -16 20 412b1a
-3 -16 20 412b1a
-16 -7 20 412b1a
-15 -7 20 412b1a
-16 -6 20 412b1a
-15 -6 20 412b1a
-16 -5 20 412b1a
-15 -5 20 412b1a
-16 -4 20 412b1a
-15 -4 20 412b1a
-16 -3 20 412b1a
-15 -3 20 412b1a
-8 -16 21 412b1a
-7 -16 21 412b1a
-6 -16 21 412b1a
-5 -16 21 412b1a
-4 -16 21 412b1a
-16 -8 21 412b1a
-15 -8 21 412b1a
-16 -7 21 412b1a
-15 -7 21 412b1a
-16 -6 21 412b1a
-15 -6 21 412b1a
-16 -5 21 412b1a
-15 -5 21 412b1a
-16 -4 21 412b1a
-15 -4 21 412b1a
-9 -16 22 412b1a
-8 -16 22 412b1a
-7 -16 22 412b1a
-6 -16 22 412b1a
-5 -16 22 412b1a
-16 -9 22 412b1a
-15 -9 22 412b1a
-16 -8 22 412b1a
-15 -8 22 412b1a
-16 -7 22 412b1a
-15 -7 22 412b1a
-16 -6 22 412b1a
-15 -6 22 412b1a
-16 -5 22 412b1a
-15 -5 22 412b1a
-10 -16 23 412b1a
-9 -16 23 412b1a
-8 -16 23 412b1a
-7 -16 23 412b1a
-6 -16 23 412b1a
-16 -10 23 412b1a
-15 -10 23 412b1a
-16 -9 23 412b1a
-15 -9 23 412b1a
-16 -8 23 412b1a
-15 -8 23 412b1a
-16 -7 23 412b1a
-15 -7 23 412b1a
-16 -6 23 412b1a
-15 -6 23 412b1a
-11 -16 24 412b1a
-10 -16 24 412b1a
-9 -16 24 412b1a
-8 -16 24 412b1a
-7 -16 24 412b1a
-16 -11 24 412b1a
-15 -11 24 412b1a
-16 -10 24 412b1a
-15 -10 24 412b1a
-16 -9 24 412b1a
-15 -9 24 412b1a
-16 -8 24 412b1a
-15 -8 24 412b1a
-16 -7 24 412b1a
-15 -7 24 412b1a
-12 -16 25 412b1a
-11 -16 25 412b1a
-10 -16 25 412b1a
-9 -16 25 412b1a
-8 -16 25 412b1a
-16 -12 25 412b1a
-15 -12 25 412b1a
-16 -11 25 412b1a
-15 -11 25 412b1a
-16 -10 25 412b1a
-15 -10 25 412b1a
-16 -9 25 412b1a
-15 -9 25 412b1a
-16 -8 25 412b1a
-15 -8 25 412b1a
-13 -16 26 412b1a
-12 -16 26 412b1a
-11 -16 26 412b1a
-10 -16 26 412b1a
-9 -16 26 412b1a
-16 -13 26 412b1a
-15 -13 26 412b1a
-16 -12 26 412b1a
-15 -12 26 412b1a
-16 -11 26 412b1a
-15 -11 26 412b1a
-16 -10 26 412b1a
-15 -10 26 412b1a
-16 -9 26 412b1a
-15 -9 26 412b1a
-14 -16 27 412b1a
-13 -16 27 412b1a
-12 -16 27 412b1a
-11 -16 27 412b1a
-10 -16 27 412b1a
-16 -14 27 412b1a
-15 -14 27 412b1a
-16 -13 27 412b1a
-15 -13 27 412b1a
-16 -12 27 412b1a
-15 -12 27 412b1a
-16 -11 27 412b1a
-15 -11 27 412b1a
-16 -10 27 412b1a
-15 -10 27 412b1a
-15 -16 28 412b1a
-14 -16 28 412b1a
-13 -16 28 412b1a
-12 -16 28 412b1a
-11 -16 28 412b1a
-16 -15 28 412b1a
-15 -15 28 412b1a
-16 -14 28 412b1a
-15 -14 28 412b1a
-16 -13 28 412b1a
-15 -13 28 412b1a
-16 -12 28 412b1a
-15 -12 28 412b1a
-16 -11 28 412b1a
-15 -11 28 412b1a
-16 -16 29 412b1a
-15 -16 29 412b1a
-14 -16 29 412b1a
-13 -16 29 412b1a
-12 -16 29 412b1a
-16 -15 29 412b1a
-15 -15 29 412b1a
-16 -14 29 412b1a
-15 -14 29 412b1a
-16 -13 29 412b1a
-15 -13 29 412b1a
-16 -12 29 412b1a
-15 -12 29 412b1a
-16 -16 30 412b1a
-15 -16 30 412b1a
-14 -16 30 412b1a
-13 -16 30 412b1a
-16 -15 30 412b1a
-15 -15 30 412b1a
-14 -15 30 412b1a
-13 -15 30 412b1a
-16 -14 30 412b1a
-15 -14 30 412b1a
-14 -14 30 412b1a
-13 -14 30 412b1a
-12 -14 30 412b1a
-16 -13 30 412b1a
-15 -13 30 412b1a
-14 -13 30 412b1a
-13 -13 30 412b1a
-12 -13 30 412b1a
-11 -13 30 412b1a
-14 -12 30 412b1a
-13 -12 30 412b1a
-12 -12 30 412b1a
-11 -12 30 412b1a
-10 -12 30 412b1a
-13 -11 30 412b1a
-12 -11 30 412b1a
-11 -11 30 412b1a
-10 -11 30 412b1a
-9 -11 30 412b1a
-12 -10 30 412b1a
-11 -10 30 412b1a
-10 -10 30 412b1a
-9 -10 30 412b1a
-8 -10 30 412b1a
-11 -9 30 412b1a
-10 -9 30 412b1a
-9 -9 30 412b1a
-8 -9 30 412b1a
-7 -9 30 412b1a
-10 -8 30 412b1a
-9 -8 30 412b1a
-8 -8 30 412b1a
-7 -8 30 412b1a
-6 -8 30 412b1a
-9 -7 30 412b1a
-8 -7 30 412b1a
-7 -7 30 412b1a
-6 -7 30 412b1a
-5 -7 30 412b1a
-8 -6 30 412b1a
-7 -6 30 412b1a
-6 -6 30 412b1a
-5 -6 30 412b1a
-4 -6 30 412b1a
-7 -5 30 412b1a
